,id,date,rating,userName,content
0,1,2022년 8월 11일,5,김소연,잘쓰고 있는데요. 구매기한 다되가는거 알람울려 사용하는 푸쉬기능하고.. 사놓은 기프티콘 날짜순 정열같은게 있으면 좋겠어요. 그리고 이번 업데이트이후 상품이 크게보이는데 이전처럼 볼지 네모로 볼지 선택할수있었으면 좋겠어요. 전 이전버젼이 상품비교하고 한눈에 도여서 비교하여 구매하기기 편했거든요.
1,2,2022년 8월 12일,5,xx zz,"앱 깔끔하고 빨라서 좋습니다! 기능 추가됐으면 하는 점이 2개 있습니다. 1. 판매시 일괄승인, 일괄거절 기능이 추가되면 좋을거같아요. 2. 매입가능 수량이 대략적으로 나왔으면 좋겠습니다."
2,3,2022년 1월 11일,5,SJ PD,"지금까지 써 본 기프티콘 구매•판매 어플 중 단연 최고인듯 합니다. 앱 구성도 복잡하지 않아 사용하기 편하며, 가격도 합리적인 것 같습니다. 그리고 업무처리가 빠른 듯한 느낌이 들어 좋습니다. 기존에 다른 어플 쓰다가 별로여서 니콘내콘 쓰기 시작했는데, 비슷한 컨텐츠의 어플들 중 어떤걸 사용할지 고민이라면 니콘내콘 적극추천드립니다^^"
3,4,2021년 3월 17일,5,김잔디,니콘내콘 아주 잘이용하고있어요. 다른 곳보다도 저렴한편이고 사용방법이 간단하여 참 좋아요. 빠르게 구매가 가능하다는 점이 큰 장점인거같습니다. 카카오톡 문의를 남긴적이 있었는데 답변도 빨라서 만족스러웟습니다. 다만 아쉬운점이 있다면 어떤 기프티콘인지 볼수가없어서 ..예를들어 같은 가격의 커피쿠폰이라도 앱에서 사용할수있는 쿠폰과 직접매장에 가야지만 쓸수있는 쿠폰이 따로있는데 그런구분이 없이 가격으로만 구분이 되어 구매시 선택할수 없다는 점이 조금 아쉽습니다. 또하나는 사용완료시 제가 완료버틀을 눌러야하는데 가끔 사용하고 완료누르는것을 까먹었을경우에 어떤 기프티콘을 사용햇고 사용안했는지 구분하기가 조금 힘듭니다. 그런점 개선되었으면 좋겠어요! 조금더 저렴하고 이벤트도 많이 했으면 좋겠네요 !
4,5,2020년 8월 11일,5,SH L,"별5개 ☆☆☆☆☆ 별점이 올라가는 EVENT..! 비교하는 게 조금 마음에 걸릴 수도 있지만 발전을 위한 조언으로 생각해서 남겨보자면... [기프티슽아]는 견적 완료되면 카톡 알림이 와서 편리한데.... [ 니콘내콘 ]은 알림 없이 조용해서.... 들어가봐야하는게 신경쓰이고, 아직 견적 완료 안 되어있을 수도 있고 (헛걸음), 견적 완료 되어서 23시 59분 중에서 막 5시간만 남아있고 할 땐 순간 철렁!! 하기도 해서...... 프로그램 개발을 못하는건지, 아니면 안 하는 건지...(비용 9원 발생(?))... 그래도 사용하고 있어서... 감사합니다~~"
5,6,2021년 2월 19일,5,정민,너무 좋은거같아요. 모든 기프티콘을 본건 아니지만 훑어봤는데 모든항목 전부 할인하고 있더라구요..최소 8퍼센튼가 부터 보통은 10퍼센트 할인이고 좋아요 특히 치킨같은것도 할인 10프로씩해서 좋구요.근데 약간 아쉬운점을 꼽자면 메뉴가 적다는거?롯데리아 들어가봤는데 햄버거가 거의없어서 아쉬웠어요 그리고 기프티콘 대부분이 유효기간이 많이남았던 적게남았던 가격이 똑같은데 적게남은 기프티콘은 더 싸게 판매하는것도 좋을거 같아요!너무 잘쓰고 있어요
6,7,2020년 6월 29일,4,박지희,기프티콘 재고파악이 가능했으면 좋겠습니다. 한번에 여러개 구매가 가능했으면 좋겠습니다. 니콘내콘에 판매등록한 기프티콘은 판매자가 사용하지못하도록 제한을 두기는 힘들겠죠...?ㅜㅠ그 기능이 있다면 좋을텐데...그리고 각 기프티콘에 대한 유의사항을 자세히 알려주시면 좋겠습니다 친구추천으로 어플을 통해 기프티콘을 구매해 잘 썼습니다
7,8,2022년 1월 16일,3,홍수진,처음보단 결제방법도 간편해져 편리해졌좋아요.근데 아쉬운점은 선물해준 기프트콘이 사용했는지가 제 폰에서 확인이 않되는게 좀불편한것같아요.선물보낸게 사용한게 가는 경우도 생기고 상대보고 사용 여부를 계속 물어볼수도 없는거고~보관함에서 담아두고 있다보면 어떤건지 잘모르겠어요.바로 선물보내기 옵션이 추가되면 좋겠어요
8,9,2021년 4월 7일,5,이보영,기프티콘을 무조건 사용해야한다는 생각을 가지고 있었는데 어느 순간 만료된 기프티콘이 생기고 너무 아깝다는 생각이 들었습니다. 주위에 선물할 사람도 없고 개인적으로 일대일로 판매하려니 신경쓸게 많아서 니콘내콘을 만나게 되었죠.ㅎㅎ 간편하게 판매하고 현금으로 받는 것도 수수료가 없어서 정말 좋았어요~! 판매만 했었는데 요즘 땡처리 제품도 꽤 있어서 구매도 하는 편이에요~! 추천합니다! :)
9,10,2021년 3월 17일,5,바코,어플 이름처럼 기프티콘을 취급하는 어플 입니다. 사용하는데 있어 굉장히 저렴하며 편리하게 자주 사용하고 있고요. 유일하게 단점이라고 꼽는다면 구입한 기프티콘은 환불이 안된다는 그점만 입니다. 이유는 환불한 기프티콘만을 취급하기에 재판매가 안된다는 점입니다. 저는 그럴이유가 없이 모두 사용하였기에 매우 만족하는 어플 입니다. 때문에 더 활발하게 어플이 이루어졌으면 합니다. 감사합니다. ㅎㅎ
